treatment,Species,Trial,.epred,.lower,.upper,.width,.point,.interval
0,fmt,Prelim_Trial,103.191354693763,37.6109170891832,274.712948117864,0.95,median,qi
0,fmt,Trial_1,78.4656301069216,27.4997519100042,329.261160432309,0.95,median,qi
0,fmt,Trial_2,92.9978125780071,31.2116716241616,352.551151128413,0.95,median,qi
0,fmt,Trial_3,87.3643219395753,28.5390618304162,351.325178032885,0.95,median,qi
0,painted,Prelim_Trial,163.875042544519,52.2187737654091,672.687308426581,0.95,median,qi
0,painted,Trial_1,90.9048471644873,30.4074389986972,442.695216088802,0.95,median,qi
0,painted,Trial_2,104.652044400216,32.9047166719584,511.863147373429,0.95,median,qi
0,painted,Trial_3,100.566759490196,32.4060139200823,464.009045894295,0.95,median,qi
0.1,fmt,Prelim_Trial,39.3812791018817,15.2283943050889,106.390111129397,0.95,median,qi
0.1,fmt,Trial_1,50.5031618436755,11.9039557234903,345.000506926352,0.95,median,qi
0.1,fmt,Trial_2,89.0095008263272,29.1688255663187,442.001732248325,0.95,median,qi
0.1,fmt,Trial_3,74.0429910012717,23.2982745026743,502.399773450369,0.95,median,qi
0.1,painted,Prelim_Trial,47.9048957656913,15.6066362963528,242.56748758942,0.95,median,qi
0.1,painted,Trial_1,114.492718743951,33.7842739021892,1184.27457096753,0.95,median,qi
0.1,painted,Trial_2,152.632411818963,35.5438728553556,1472.21662029338,0.95,median,qi
0.1,painted,Trial_3,112.135784377612,24.8169838782355,1142.17106036983,0.95,median,qi
1,fmt,Prelim_Trial,33.1377626755802,12.6447441776933,115.266321627731,0.95,median,qi
1,fmt,Trial_1,71.84801575285,20.3155423113545,400.498787821273,0.95,median,qi
1,fmt,Trial_2,89.7419946644895,29.3694953557664,382.128161999428,0.95,median,qi
1,fmt,Trial_3,56.3811048936771,14.5953661660844,343.033372135443,0.95,median,qi
1,painted,Prelim_Trial,72.6527051104315,27.6835435234519,303.89483123228,0.95,median,qi
1,painted,Trial_1,238.087916746614,53.369051716042,1649.88547227762,0.95,median,qi
1,painted,Trial_2,148.196182141152,34.1342453443436,1191.28226736754,0.95,median,qi
1,painted,Trial_3,228.705834491316,59.9112260817843,1587.84621347981,0.95,median,qi
10,fmt,Prelim_Trial,60.8071232870244,25.1130764300792,199.721896041618,0.95,median,qi
10,fmt,Trial_1,84.527482510831,24.0193391959866,392.424636714453,0.95,median,qi
10,fmt,Trial_2,76.4831655193706,22.1940107911317,463.401647292769,0.95,median,qi
10,fmt,Trial_3,86.104589263201,16.5691379176611,670.639531378978,0.95,median,qi
10,painted,Prelim_Trial,88.892731170949,33.2749299706453,385.054255954661,0.95,median,qi
10,painted,Trial_1,84.8352834034389,19.0019050722672,1461.32036566299,0.95,median,qi
10,painted,Trial_2,197.518680973958,52.6684772807939,1368.29469252531,0.95,median,qi
10,painted,Trial_3,163.661575131912,38.5365060447417,1230.31458447748,0.95,median,qi
